Track	0_checkout
Section	Video Black	00:00:00.00
video	c13-v_usr - 000-011-c13-guides	00:02:00.00	000-grids/000-011-c13-guides.mov v001
output	c13-v_usr - 000-011-c13-guides	00:02:00.00	default
cdl	c13-v_usr - 000-011-c13-guides	00:02:00.00	None
video	c14-v_usl - 000-011-c14-guides	00:02:00.00	000-grids/000-011-c14-guides.mov v001
output	c14-v_usl - 000-011-c14-guides	00:02:00.00	default
cdl	c14-v_usl - 000-011-c14-guides	00:02:00.00	None
video	c21-h_ds - 000-011-c21-guides	00:02:00.00	000-grids/000-011-c21-guides.mov v002
output	c21-h_ds - 000-011-c21-guides	00:02:00.00	default
cdl	c21-h_ds - 000-011-c21-guides	00:02:00.00	None
video	c22-h_us - 000-011-c22-guides	00:02:00.00	000-grids/000-011-c22-guides.mov v002
output	c22-h_us - 000-011-c22-guides	00:02:00.00	default
cdl	c22-h_us - 000-011-c22-guides	00:02:00.00	None
video	c01-full (parallel) - 000-021-c01-grids_and_guides	00:02:00.00	000-grids/000-021-c01-grids_and_guides.mov v002
output	c01-full (parallel) - 000-021-c01-grids_and_guides	00:02:00.00	default
cdl	c01-full (parallel) - 000-021-c01-grids_and_guides	00:02:00.00	None
Section	(Midi) LX Control	00:03:00.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
Section	(Midi) Restore	00:03:30.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
Section	(Matrix) BU	00:04:00.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
command	Output 1 US	00:04:00.00	output 1 us
command	Output 2A US	00:04:00.00	output 2 us
command	Output 2B US	00:04:00.00	output 2b  us
command	Output 3 US	00:04:00.00	output 3 us
video	CH 2 Default	00:04:00.00	040-d3 utility/040-101-c02-main.mov v002
output	CH 2 Default	00:04:00.00	default
cdl	CH 2 Default	00:04:00.00	None
Section	(Matrix) Restore Main	00:05:00.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
command	Output 1 Main	00:05:00.00	output 1 main
command	Output 2 MAIN	00:05:00.00	output 2 main
command	Output 2B MAIN	00:05:00.00	output 2b main
command	Output 3 MAIN	00:05:00.00	output 3 main
video	CH 2 Default	00:04:00.00	040-d3 utility/040-101-c02-main.mov v002
output	CH 2 Default	00:04:00.00	default
cdl	CH 2 Default	00:04:00.00	None
Section	(LED) RGB Test	00:06:00.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
Section	(LED) Colour Bars	00:07:00.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
video	CH 2 Default	00:07:00.00	000-grids/000-043-c01-horizontal_colorbars_wbg.mov v003
output	CH 2 Default	00:07:00.00	default
cdl	CH 2 Default	00:07:00.00	None
Section	(Sound) Timecode	00:08:00.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
font	TEXT	00:08:00.00	arial
Section	(Projector) Lamp On and Check Shutter Each	00:09:00.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
command	projector 1 ON	00:09:00.00	power on
control device	projector 1 ON	00:09:00.00	proj 1
command	projector 2 ON	00:09:00.00	power on
control device	projector 2 ON	00:09:00.00	proj 2
video	CH 3 Default	00:09:00.00	000-grids/000-001-c03-grids.mov v0010
output	CH 3 Default	00:09:00.00	default
cdl	CH 3 Default	00:09:00.00	None
Section		00:09:15.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
video	CH 3 Default	00:09:00.00	000-grids/000-001-c03-grids.mov v0010
output	CH 3 Default	00:09:00.00	default
cdl	CH 3 Default	00:09:00.00	None
Section		00:09:30.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
video	CH 3 Default	00:09:00.00	000-grids/000-001-c03-grids.mov v0010
output	CH 3 Default	00:09:00.00	default
cdl	CH 3 Default	00:09:00.00	None
Section		00:09:45.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
video	CH 3 Default	00:09:00.00	000-grids/000-001-c03-grids.mov v0010
output	CH 3 Default	00:09:00.00	default
cdl	CH 3 Default	00:09:00.00	None
Section	(Rename Table) Actor Check	00:10:00.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
video	Cee Cee	00:10:00.00	101-ceeceeshow/101-160-c00-ceecee_headshots@ceecee.mov v001
output	Cee Cee	00:10:00.00	default
cdl	Cee Cee	00:10:00.00	None
video	Little Cee Cee	00:10:00.00	216-wind/216-120-c00-little_ceecee_headshots@little_ceecee.mov v001
output	Little Cee Cee	00:10:00.00	default
cdl	Little Cee Cee	00:10:00.00	None
video	Little Bertie	00:10:00.00	216-wind/216-121-c00-little_bertie_headshots@little_bertie.mov v001
output	Little Bertie	00:10:00.00	default
cdl	Little Bertie	00:10:00.00	None
Section	BLANK FOR LX	00:11:00.00
dmx command 1	MASTER PJ INTENSITY	00:00:00.00	pj21_intensity
dmx command 2	MASTER PJ INTENSITY	00:00:00.00	pj22_intensity
dmx command 3	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 4	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 5	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 6	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 7	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 8	MASTER PJ INTENSITY	00:00:00.00	None
dmx command 1	MASTER LED BRIGHTNESS	00:00:00.00	led31 brightness
dmx command 2	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 3	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 4	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 5	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 6	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 7	MASTER LED BRIGHTNESS	00:00:00.00	None
dmx command 8	MASTER LED BRIGHTNESS	00:00:00.00	None
Section		00:12:00.00
Track	000-grids
Section	Grids and Guides (Direct)	00:00:00.00
command	projector 1 open	00:00:00.00	shutter open
control device	projector 1 open	00:00:00.00	proj 1
command	projector 2 open	00:00:00.00	shutter open
control device	projector 2 open	00:00:00.00	proj 2
video	c02-wall - 000-021-c02-grids_and_guides	00:00:00.00	000-grids/000-021-c02-grids_and_guides.mov v004
output	c02-wall - 000-021-c02-grids_and_guides	00:00:00.00	default
cdl	c02-wall - 000-021-c02-grids_and_guides	00:00:00.00	None
video	c03-scrim_ds - 000-021-c03-grids_and_guides	00:00:00.00	000-grids/000-021-c03-grids_and_guides.mov v001
output	c03-scrim_ds - 000-021-c03-grids_and_guides	00:00:00.00	default
cdl	c03-scrim_ds - 000-021-c03-grids_and_guides	00:00:00.00	None
video	c11-v_dsr - 000-021-c11-grids_and_guides	00:00:00.00	000-grids/000-021-c11-grids_and_guides.mov v001
output	c11-v_dsr - 000-021-c11-grids_and_guides	00:00:00.00	default
cdl	c11-v_dsr - 000-021-c11-grids_and_guides	00:00:00.00	None
video	c12-v_dsl - 000-021-c12-grids_and_guides	00:00:00.00	000-grids/000-021-c12-grids_and_guides.mov v001
output	c12-v_dsl - 000-021-c12-grids_and_guides	00:00:00.00	default
cdl	c12-v_dsl - 000-021-c12-grids_and_guides	00:00:00.00	None
video	c13-v_usr - 000-021-c13-grids_and_guides	00:00:00.00	000-grids/000-021-c13-grids_and_guides.mov v001
output	c13-v_usr - 000-021-c13-grids_and_guides	00:00:00.00	default
cdl	c13-v_usr - 000-021-c13-grids_and_guides	00:00:00.00	None
video	c14-v_usl - 000-021-c14-grids_and_guides	00:00:00.00	000-grids/000-021-c14-grids_and_guides.mov v001
output	c14-v_usl - 000-021-c14-grids_and_guides	00:00:00.00	default
cdl	c14-v_usl - 000-021-c14-grids_and_guides	00:00:00.00	None
video	c21-h_ds - 000-021-c21-grids_and_guides	00:00:00.00	000-grids/000-021-c21-grids_and_guides.mov v002
output	c21-h_ds - 000-021-c21-grids_and_guides	00:00:00.00	default
cdl	c21-h_ds - 000-021-c21-grids_and_guides	00:00:00.00	None
video	c22-h_us - 000-021-c22-grids_and_guides	00:00:00.00	000-grids/000-021-c22-grids_and_guides.mov v002
output	c22-h_us - 000-021-c22-grids_and_guides	00:00:00.00	default
cdl	c22-h_us - 000-021-c22-grids_and_guides	00:00:00.00	None
Section	Grids and Guides (Parallel)	00:00:30.00
command	projector 1 close	00:00:30.00	shutter close
control device	projector 1 close	00:00:30.00	proj 1
command	projector 2 close	00:00:30.00	shutter close
control device	projector 2 close	00:00:30.00	proj 2
video	000-011-c02-guides	00:00:30.00	000-grids/000-011-c02-guides.mov v004
output	000-011-c02-guides	00:00:30.00	default
cdl	000-011-c02-guides	00:00:30.00	None
video	000-011-c11-guides	00:00:30.00	000-grids/000-011-c11-guides.mov v001
output	000-011-c11-guides	00:00:30.00	default
cdl	000-011-c11-guides	00:00:30.00	None
video	000-011-c12-guides	00:00:30.00	000-grids/000-011-c12-guides.mov v001
output	000-011-c12-guides	00:00:30.00	default
cdl	000-011-c12-guides	00:00:30.00	None
video	000-011-c13-guides	00:00:30.00	000-grids/000-011-c13-guides.mov v001
output	000-011-c13-guides	00:00:30.00	default
cdl	000-011-c13-guides	00:00:30.00	None
video	000-011-c14-guides	00:00:30.00	000-grids/000-011-c14-guides.mov v001
output	000-011-c14-guides	00:00:30.00	default
cdl	000-011-c14-guides	00:00:30.00	None
video	000-011-c21-guides	00:00:30.00	000-grids/000-011-c21-guides.mov v002
output	000-011-c21-guides	00:00:30.00	default
cdl	000-011-c21-guides	00:00:30.00	None
video	000-011-c22-guides	00:00:30.00	000-grids/000-011-c22-guides.mov v002
output	000-011-c22-guides	00:00:30.00	default
